RandomScore,PlanScore,MCScore,,,r,p,m
1.492753623,2.5125,4,,,,,
1.528571429,2.530864198,4,,,,,
1.563380282,2.548780488,4,,,,,
1.597222222,2.56626506,4,,,,,
1.630136986,2.583333333,4,,,,,
1.662162162,2.6,4,,,,,
1.693333333,2.61627907,4,,,,,
1.723684211,2.632183908,4,,,,,
1.753246753,2.647727273,4,,,,,
1.782051282,2.662921348,4,,,,,
1.810126582,2.677777778,4,,,,,
1.8375,2.692307692,4,,,,,
1.864197531,2.706521739,4,,,,,
1.890243902,2.720430108,4,,,,,
1.915662651,2.734042553,1.823529412,,,,,
1.94047619,2.747368421,1.865384615,,,,,
1.964705882,2.760416667,1.905660377,,,,,
1.988372093,2.773195876,1.944444444,,,,,
2.011494253,2.785714286,1.981818182,,,,,
2.034090909,2.797979798,2.017857143,,,,,
2.056179775,2.81,2.052631579,,,,,
2.077777778,0.01,2.086206897,,,,,
2.098901099,1.89,2.118644068,,,,,
2.119565217,2.66,2.15,,,,,
2.139784946,1.05,2.180327869,,,,,
2.159574468,0.65,2.209677419,,,,,
2.178947368,0.06,2.238095238,,,,,
2.197916667,0,2.265625,,,,,
2.216494845,0.69,2.292307692,,,,,
2.234693878,0.13,2.318181818,,,,,
2.252525253,0,2.343283582,,,,,
2.27,1.848484848,2.367647059,,,,,
0.1,1.911764706,2.391304348,,,,,
1.54,1.971428571,2.414285714,,,,,
0.04,2.027777778,2.436619718,,,,,
1.6,2.081081081,2.458333333,,,,,
0,2.131578947,2.479452055,,,,,
0.28,2.179487179,2.5,,,,,
0.06,2.225,2.52,,,,,
0.46,2.268292683,2.539473684,,,,,
0.74,2.30952381,2.558441558,,,,,
0.34,2.348837209,2.576923077,,,,,
0,2.386363636,2.594936709,,,,,
0.33,2.422222222,2.6125,,,,,
2,2.456521739,2.62962963,,,,,
2.048780488,2.489361702,2.646341463,,,,,
2.095238095,2.520833333,2.662650602,,,,,
2.139534884,2.551020408,2.678571429,,,,,
2.181818182,2.58,2.694117647,,,,,
2.222222222,2.607843137,2.709302326,,,,,
2.260869565,2.634615385,2.724137931,,,,,
2.29787234,2.660377358,2.738636364,,,,,
2.333333333,2.685185185,2.752808989,,,,,
2.367346939,2.709090909,2.766666667,,,,,
2.4,2.732142857,2.78021978,,,,,
2.431372549,2.754385965,2.793478261,,,,,
2.461538462,2.775862069,2.806451613,,,,,
2.490566038,2.796610169,2.819148936,,,,,
2.518518519,2.816666667,2.831578947,,,,,
2.545454545,2.836065574,2.84375,,,,,
2.571428571,2.85483871,2.855670103,,,,,
2.596491228,2.873015873,2.867346939,,,,,
2.620689655,2.890625,2.878787879,,,,,
2.644067797,2.907692308,2.89,,,,,
2.666666667,2.924242424,0.166666667,,,,,
2.68852459,2.940298507,0.236363636,,,,,
2.709677419,2.955882353,0.303571429,,,,,
2.73015873,2.971014493,0.368421053,,,,,
2.75,2.985714286,0.431034483,,,,,
2.769230769,3,0.491525424,,,,,
2.787878788,3.013888889,0.55,,,,,
2.805970149,3.02739726,0.606557377,,,,,
2.823529412,3.040540541,0.661290323,,,,,
2.84057971,3.053333333,0.714285714,,,,,
2.857142857,3.065789474,0.765625,,,,,
2.873239437,3.077922078,0.815384615,,,,,
2.888888889,3.08974359,0.863636364,,,,,
2.904109589,3.101265823,0.910447761,,,,,
2.918918919,3.1125,0.955882353,,,,,
2.933333333,3.12345679,1,,,,,
2.947368421,3.134146341,1.042857143,,,,,
2.961038961,3.144578313,1.084507042,,,,,
2.974358974,3.154761905,1.125,,,,,
2.987341772,3.164705882,1.164383562,,,,,
3,3.174418605,1.202702703,,,,,
3.012345679,3.183908046,1.24,,,,,
3.024390244,3.193181818,1.276315789,,,,,
3.036144578,3.202247191,1.311688312,,,,,
3.047619048,3.211111111,1.346153846,,,,,
3.058823529,3.21978022,1.379746835,,,,,
3.069767442,3.22826087,1.4125,,,,,
3.08045977,3.23655914,1.444444444,,,,,
3.090909091,3.244680851,1.475609756,,,,,
3.101123596,3.252631579,1.506024096,,,,,
3.111111111,3.260416667,1.535714286,,,,,
3.120879121,3.268041237,1.564705882,,,,,
3.130434783,3.275510204,1.593023256,,,,,
3.139784946,3.282828283,1.620689655,,,,,
3.14893617,3.29,1.647727273,,,,,
3.157894737,1.5,1.674157303,,,,,
3.166666667,0.14,1.7,,,,,
3.175257732,0,1.725274725,,,,,
3.183673469,0.077777778,1.75,,,,,
3.191919192,0.120879121,1.774193548,,,,,
3.2,0.163043478,1.79787234,,,,,
0.6,0.204301075,1.821052632,,,,,
2.06,0.244680851,1.84375,,,,,
2.74,0.284210526,1.865979381,,,,,
0,0.322916667,1.887755102,,,,,
0.08,0.360824742,1.909090909,,,,,
1.3,0.397959184,1.93,,,,,
1.18,0.434343434,0.91,,,,,
1.84,0.47,0,,,,,
0.280487805,0,1.011111111,,,,,
0.325301205,0,1.043956044,,,,,
0.369047619,0,1.076086957,,,,,
0.411764706,2.97,1.107526882,,,,,
0.453488372,0.08,1.138297872,,,,,
0.494252874,0,1.168421053,,,,,
0.534090909,0.16,1.197916667,,,,,
0.573033708,0,1.226804124,,,,,
0.611111111,0.321428571,1.255102041,,,,,
0.648351648,0.448275862,1.282828283,,,,,
0.684782609,0.566666667,1.31,,,,,
0.720430108,0.677419355,0,,,,,
0.755319149,0.78125,0.115384615,,,,,
0.789473684,0.878787879,0.188679245,,,,,
0.822916667,0.970588235,0.259259259,,,,,
0.855670103,1.057142857,0.327272727,,,,,
0.887755102,1.138888889,0.392857143,,,,,
0.919191919,1.216216216,0.456140351,,,,,
0.95,1.289473684,0.517241379,,,,,
1.9,1.358974359,0.576271186,,,,,
0.05,1.425,0.633333333,,,,,
0.04,1.487804878,0.68852459,,,,,
0.15,1.547619048,0.741935484,,,,,
0,1.604651163,0.793650794,,,,,
0,1.659090909,0.84375,,,,,
0,1.711111111,0.892307692,,,,,
0,1.760869565,0.939393939,,,,,
0.04,1.808510638,0.985074627,,,,,
0.16,1.854166667,1.029411765,,,,,
0.584269663,1.897959184,1.072463768,,,,,
0.622222222,1.94,1.114285714,,,,,
0.659340659,1.980392157,1.154929577,,,,,
0.695652174,2.019230769,1.194444444,,,,,
0.731182796,2.056603774,1.232876712,,,,,
0.765957447,2.092592593,1.27027027,,,,,
0.8,2.127272727,1.306666667,,,,,
0.833333333,2.160714286,1.342105263,,,,,
0.865979381,2.192982456,1.376623377,,,,,
0.897959184,2.224137931,1.41025641,,,,,
0.929292929,2.254237288,1.443037975,,,,,
0.96,2.283333333,1.475,,,,,
1.36,2.31147541,1.50617284,,,,,
0,2.338709677,1.536585366,,,,,
0,2.365079365,1.56626506,,,,,
1.6,2.390625,1.595238095,,,,,
1.044776119,2.415384615,1.623529412,,,,,
1.088235294,2.439393939,1.651162791,,,,,
1.130434783,2.462686567,1.67816092,,,,,
1.171428571,2.485294118,1.704545455,,,,,
1.211267606,2.507246377,1.730337079,,,,,
1.25,2.528571429,1.755555556,,,,,
1.287671233,2.549295775,1.78021978,,,,,
1.324324324,2.569444444,1.804347826,,,,,
1.36,2.589041096,1.827956989,,,,,
1.394736842,2.608108108,1.85106383,,,,,
1.428571429,2.626666667,1.873684211,,,,,
1.461538462,2.644736842,1.895833333,,,,,
1.493670886,2.662337662,1.917525773,,,,,
1.525,2.679487179,1.93877551,,,,,
1.555555556,2.696202532,1.95959596,,,,,
1.585365854,2.7125,1.98,,,,,
1.614457831,2.728395062,0.14,,,,,
1.642857143,2.743902439,1.88,,,,,
1.670588235,2.759036145,0,,,,,
1.697674419,2.773809524,0,,,,,
1.724137931,2.788235294,2.29,,,,,
1.75,2.802325581,0.11,,,,,
1.775280899,2.816091954,0,,,,,
1.8,2.829545455,0,,,,,
1.824175824,2.842696629,0.32,,,,,
1.847826087,2.855555556,0,,,,,
1.870967742,2.868131868,0.714285714,,,,,
1.893617021,2.880434783,0.76056338,,,,,
1.915789474,2.892473118,0.805555556,,,,,
1.9375,2.904255319,0.849315068,,,,,
1.958762887,2.915789474,0.891891892,,,,,
1.979591837,2.927083333,0.933333333,,,,,
2,2.93814433,0.973684211,,,,,
2.02,2.948979592,1.012987013,,,,,
1.3,2.95959596,1.051282051,,,,,
0,2.97,1.088607595,,,,,
1.28,0.01,1.125,,,,,
1.06,0,1.160493827,,,,,
2.13,1.36,1.195121951,,,,,
0.16,0,1.228915663,,,,,
0.16,0.11,1.261904762,,,,,
2.06,2.064516129,1.294117647,,,,,
0.688888889,2.125,1.325581395,,,,,
0.760869565,2.181818182,1.356321839,,,,,
0.829787234,2.235294118,1.386363636,,,,,
0.895833333,2.285714286,1.415730337,,,,,
0.959183673,2.333333333,1.444444444,,,,,
1.02,2.378378378,1.472527473,,,,,
1.078431373,2.421052632,1.5,,,,,
1.134615385,2.461538462,1.52688172,,,,,
1.188679245,2.5,1.553191489,,,,,
1.240740741,2.536585366,1.578947368,,,,,
1.290909091,2.571428571,1.604166667,,,,,
1.339285714,2.604651163,1.628865979,,,,,
1.385964912,2.636363636,1.653061224,,,,,
1.431034483,2.666666667,1.676767677,,,,,
1.474576271,2.695652174,1.7,,,,,
1.516666667,2.723404255,0,,,,,
1.557377049,2.75,0.03,,,,,
1.596774194,2.775510204,3,,,,,
1.634920635,2.8,1.363636364,,,,,
1.671875,2.823529412,1.583333333,,,,,
1.707692308,2.846153846,1.769230769,,,,,
1.742424242,2.867924528,1.928571429,,,,,
1.776119403,2.888888889,2.066666667,,,,,
1.808823529,2.909090909,2.1875,,,,,
1.84057971,2.928571429,2.294117647,,,,,
1.871428571,2.947368421,2.388888889,,,,,
1.901408451,2.965517241,2.473684211,,,,,
1.930555556,2.983050847,2.55,,,,,
1.95890411,3,2.619047619,,,,,
1.986486486,3.016393443,2.681818182,,,,,
2.013333333,3.032258065,2.739130435,,,,,
