RandomScore,RandomTime,PlanScore,PlanTime,MCScore,MCTime
0.38461538461538464,38,0.0,100,0.2916666666666667,47
0.475,39,0.46,100,0.3673469387755102,48
0.5609756097560976,40,1.05,100,0.44,49
0.6428571428571429,41,0.0,100,0.5098039215686274,50
0.7209302325581395,42,1.28,100,0.5769230769230769,51
0.7954545454545454,43,0.14,100,0.6415094339622641,52
0.8666666666666667,44,1.07,100,0.7037037037037037,53
0.9347826086956522,45,0.12,100,0.7636363636363637,54
1.0,46,0.72,100,0.8214285714285714,55
1.0625,47,3.0416666666666665,23,0.8771929824561403,56
